file_name,genre
2,Hip-Hop
5,Hip-Hop
10,Pop
140,Folk
141,Folk
148,Experimental
182,Rock
190,Folk
193,Folk
194,Folk
197,Folk
200,Folk
203,Folk
204,Folk
207,Folk
210,Folk
211,Folk
212,Folk
213,Pop
255,Rock
256,Rock
368,Rock
424,Experimental
459,Rock
534,Folk
540,Folk
546,Folk
574,Rock
602,Folk
615,Experimental
620,Folk
621,Folk
625,Folk
666,International
667,International
676,Hip-Hop
690,Rock
694,Hip-Hop
695,Hip-Hop
704,International
705,International
706,International
707,International
708,International
709,International
714,Folk
715,Folk
716,Folk
718,Folk
777,Rock
814,Folk
821,Pop
822,Pop
825,Rock
853,International
890,Folk
892,Folk
897,Experimental
993,Rock
995,Experimental
